,id,source
914,25270211,inat
915,25227744,inat
916,25152417,inat
917,25102846,inat
918,24850291,inat
919,24812870,inat
920,24795935,inat
921,24788313,inat
922,24697140,inat
923,24684558,inat
924,24591667,inat
925,24576370,inat
926,24536842,inat
927,24435816,inat
928,24387452,inat
929,24366628,inat
930,24315363,inat
931,24281637,inat
932,24274481,inat
933,24180023,inat
934,23924461,inat
935,23457724,inat
936,23332786,inat
937,23187851,inat
938,23054360,inat
939,23040560,inat
940,23008613,inat
941,22947963,inat
942,22911879,inat
943,22909797,inat
944,22887498,inat
945,22872971,inat
946,22871860,inat
947,22809538,inat
948,22805594,inat
949,22768175,inat
950,22766272,inat
951,22728071,inat
952,22666960,inat
953,22662783,inat
954,22599921,inat
955,22572490,inat
956,22522644,inat
957,22457747,inat
958,22338639,inat
959,22244876,inat
960,22180500,inat
961,22148524,inat
962,22147710,inat
963,22145536,inat
964,22031687,inat
965,21952321,inat
966,21940629,inat
967,21917077,inat
968,21822077,inat
969,21687300,inat
970,21569625,inat
971,21559285,inat
972,21175047,inat
973,20726218,inat
974,20513168,inat
975,20136198,inat
976,19758842,inat
977,19499767,inat
978,19354198,inat
979,18906960,inat
980,18732559,inat
981,18620190,inat
982,18619998,inat
983,18515365,inat
984,18407818,inat
985,18302603,inat
986,18205504,inat
987,18128702,inat
988,18040630,inat
989,17968793,inat
990,17621335,inat
991,17440635,inat
992,17431647,inat
993,17424458,inat
994,17408402,inat
995,17372627,inat
996,17345628,inat
997,17323897,inat
998,17210674,inat
999,17144891,inat
1000,17098361,inat
1001,17061012,inat
1002,16481636,inat
1003,16456806,inat
1004,16401810,inat
1005,16324276,inat
1006,16273231,inat
1007,16203749,inat
1008,15940119,inat
1009,15904918,inat
1010,15840922,inat
1011,15821280,inat
1012,15739091,inat
1013,15739059,inat
1014,15666366,inat
1015,15654226,inat
1016,15653336,inat
1017,15640340,inat
1018,15627287,inat
1019,15627286,inat
1020,15627283,inat
1021,15535241,inat
1022,15524492,inat
1023,15486895,inat
1024,15354492,inat
1025,15349478,inat
1026,15349477,inat
1027,15204083,inat
1028,15199533,inat
1029,15196195,inat
1030,14917317,inat
1031,14880497,inat
1032,14863488,inat
1033,14861160,inat
1034,14850413,inat
1035,14844566,inat
1036,14844530,inat
1037,14844521,inat
1038,14844438,inat
1039,14840865,inat
1040,14839322,inat
1041,14835921,inat
1042,14834604,inat
1043,14833439,inat
1044,14833300,inat
1045,14832993,inat
1046,14830741,inat
1047,14829893,inat
1048,14829549,inat
1049,14824543,inat
1050,14824310,inat
1051,14822086,inat
1052,14822063,inat
1053,14822062,inat
1054,14821554,inat
1055,14821533,inat
